"","time","female","age","wage","ltime"
"1",366,1,38,114.800003051758,5.90263319015503
"2",81,0,28,85.1999969482422,4.39444923400879
"3",32,1,29,52.5999984741211,3.465735912323
"4",64,0,28,75,4.1588830947876
"5",304,1,30,35.2000007629395,5.71702766418457
"6",248,1,32,0,5.51342868804932
"7",90,0,35,99.5,4.49980974197388
"8",70,0,35,90.8000030517578,4.24849510192871
"9",115,0,27,59.7000007629395,4.74493217468262
"10",30,0,31,111.199996948242,3.40119743347168
"11",609,0,34,89.8000030517578,6.4118185043335
"12",91,0,31,62.2000007629395,4.51085948944092
"13",28,0,31,41.2999992370605,3.33220458030701
"14",87,0,37,57.7000007629395,4.46590805053711
"15",32,0,33,52.5999984741211,3.465735912323
"16",32,0,45,63.7999992370605,3.465735912323
"17",1112,1,27,65.8000030517578,7.01391553878784
"18",30,0,33,61.7000007629395,3.40119743347168
"19",245,0,45,90.8000030517578,5.5012583732605
"20",853,1,40,20.3999996185303,6.74875974655151
"21",956,0,27,66.8000030517578,6.86275768280029
"22",364,1,35,0,5.89715385437012
"23",745,0,46,43.9000015258789,6.61338424682617
"24",188,0,43,66.8000030517578,5.23644208908081
"25",1665,1,28,88.8000030517578,7.41758060455322
"26",1194,1,34,0,7.08506441116333
"27",169,0,28,69.9000015258789,5.12989854812622
"28",792,1,28,54.0999984741211,6.67456150054932
"29",50,0,43,67.9000015258789,3.91202306747437
"30",154,0,30,0,5.03695249557495
"31",1145,0,38,57.7000007629395,7.04315996170044
"32",44,0,28,79.5999984741211,3.78418970108032
"33",60,0,37,95.9000015258789,4.09434461593628
"34",518,0,27,61.7000007629395,6.24997520446777
"35",37,0,28,67.3000030517578,3.61091780662537
"36",195,0,28,73.5,5.27299976348877
"37",611,1,33,10.6999998092651,6.41509675979614
"38",78,0,26,76,4.35670900344849
"39",1447,0,48,45.4000015258789,7.2772479057312
"40",76,1,37,60.2000007629395,4.33073329925537
"41",123,0,40,134.199996948242,4.81218433380127
"42",52,0,29,54.0999984741211,3.95124363899231
"43",85,1,39,70.9000015258789,4.44265127182007
"44",100,1,48,40.2999992370605,4.60517024993896
"45",367,1,35,52.5999984741211,5.90536165237427
"46",1704,0,42,92.3000030517578,7.44073390960693
"47",32,0,27,60.2000007629395,3.465735912323
"48",339,0,29,57.7000007629395,5.82600021362305
"49",21,0,31,67.3000030517578,3.04452252388
"50",511,1,30,0,6.23636960983276
"51",630,0,30,68.4000015258789,6.44571971893311
"52",105,0,34,22.3999996185303,4.65396022796631
"53",1644,0,41,204.100006103516,7.40488767623901
"54",408,0,32,57.0999984741211,6.01126718521118
"55",214,0,45,49.5,5.36597585678101
"56",1066,1,31,63.2999992370605,6.97166872024536
"57",192,0,26,44.4000015258789,5.25749540328979
"58",473,0,38,94.4000015258789,6.159095287323
"59",199,1,29,123.5,5.29330492019653
"60",907,1,33,0.5,6.81014251708984
"61",76,0,37,51,4.33073329925537
"62",1232,1,38,55.5999984741211,7.11639404296875
"63",121,0,40,70.4000015258789,4.79579067230225
"64",213,0,32,102.599998474121,5.36129236221313
"65",486,0,28,65.3000030517578,6.18620872497559
"66",492,0,39,35.7000007629395,6.19847869873047
"67",1184,0,47,88.8000030517578,7.07665395736694
"68",427,1,35,48.5,6.05678415298462
"69",63,0,29,56.0999984741211,4.14313459396362
"70",124,0,39,137.800003051758,4.82028150558472
"71",63,0,26,70.9000015258789,4.14313459396362
"72",414,1,30,70.4000015258789,6.02586603164673
"73",63,1,36,38.2999992370605,4.14313459396362
"74",88,0,30,120.400001525879,4.47733688354492
"75",778,1,30,0,6.65672636032104
"76",428,0,29,42.2999992370605,6.05912303924561
"77",871,1,35,55.5999984741211,6.7696418762207
"78",750,0,42,116.300003051758,6.62007331848145
"79",571,0,37,46.4000015258789,6.34738922119141
"80",760,0,46,63.7999992370605,6.63331842422485
"81",103,0,41,0.5,4.63472890853882
"82",32,1,38,26,3.465735912323
"83",366,0,39,0,5.90263319015503
"84",62,0,31,61.2000007629395,4.12713432312012
"85",773,0,30,0,6.65027904510498
"86",1670,1,31,66.3000030517578,7.420578956604
"87",135,1,34,21.8999996185303,4.90527486801147
"88",65,0,33,76.5,4.17438745498657
"89",335,1,43,50,5.8141303062439
"90",236,0,33,77.5999984741211,5.46383190155029
"91",9,1,31,75,2.19722461700439
"92",212,0,32,68.9000015258789,5.35658645629883
"93",38,1,36,48.5,3.63758611679077
"94",1644,0,44,77,7.40488767623901
"95",412,0,36,95.4000015258789,6.02102327346802
"96",1917,0,35,75,7.55851697921753
"97",548,1,27,42.2999992370605,6.30627536773682
"98",1249,0,36,0,7.13009834289551
"99",1769,0,46,80.5999984741211,7.4781699180603
"100",475,1,34,0,6.16331481933594
"101",1311,0,43,66.8000030517578,7.1785454750061
"102",32,0,29,70.9000015258789,3.465735912323
"103",262,1,42,0,5.5683445930481
"104",23,0,37,96.9000015258789,3.13549423217773
"105",623,0,38,0,6.43454647064209
"106",40,1,40,0,3.68887948989868
"107",802,0,49,65.3000030517578,6.68710851669312
"108",22,0,49,66.8000030517578,3.09104251861572
"109",33,0,46,70.4000015258789,3.49650764465332
"110",977,1,26,10.1999998092651,6.88448667526245
"111",191,1,33,68.9000015258789,5.25227355957031
"112",32,0,43,133.699996948242,3.465735912323
"113",57,0,45,55.0999984741211,4.04305124282837
"114",1186,1,38,33.2000007629395,7.07834148406982
"115",255,0,30,58.7000007629395,5.54126358032227
"116",154,1,30,96.4000015258789,5.03695249557495
"117",1280,0,32,84.1999969482422,7.15461540222168
"118",119,0,33,73,4.77912330627441
"119",1503,0,49,0,7.31521844863892
"120",343,0,33,59.7000007629395,5.83773040771484
"121",32,0,41,65.8000030517578,3.465735912323
"122",34,1,38,89.3000030517578,3.52636051177979
"123",828,0,45,46.4000015258789,6.71901321411133
"124",409,0,32,120.400001525879,6.0137152671814
"125",1041,1,38,0,6.94793701171875
